Rank,City,State,2018 Estimate,2010 Census,Change,2016 Land Area Km,2016 Land Area Mi,2016 Population Density km,2016 Population Density mi,Land Area,Water Area,Time Zone,Mayor,Airport,Official Website,Climate,Wiki link
153,Eugene, Oregon,"171,245","156,185",+9.64%,44.1 sq mi,114.2 km2,"3,777/sq mi","1,458/km2",43.72 sq mi (113.23 km2),0.02 sq mi (0.05 km2),UTC-8 (PST),Lucy Vinis,,http://www.eugene-or.gov/,"Like the rest of the Willamette Valley, Eugene lies in the Marine West Coast climate zone, with Mediterranean characteristics. Under the Köppen climate classification scheme, Eugene has a cool-summer Mediterranean climate (Köppen Csb). Temperatures can vary from cool to warm, with warm, dry summers and cool, wet winters. Spring and fall are also moist seasons, with light rain falling for long periods. Winter snowfall does occur, but it is sporadic and rarely accumulates in large amounts: the normal seasonal amount is 4.9 inches (12.4cm), and the median is 0.[38] The record snowfall was 41.7in (106cm) of accumulation due to a pineapple express on January 25–29, 1969.[38] Ice storms, like snowfall, are rare, but occur sporadically.
","/wiki/Eugene,_Oregon"
154,Corona, California,"168,819","152,374",+10.79%,39.5 sq mi,102.3 km2,"4,222/sq mi","1,630/km2",39.47 sq mi (102.23 km2),0.08 sq mi (0.21 km2)  0.27%,UTC-8 (Pacific),[4],,http://www.discovercorona.com/,,"/wiki/Corona,_California"
155,Cary, North Carolina,"168,160","135,234",+24.35%,56.5 sq mi,146.3 km2,"2,873/sq mi","1,109/km2",58.33 sq mi (151.07 km2),1.09 sq mi (2.82 km2)  1.83%,UTC-5 (EST),Harold Weinbrecht,"The Raleigh-Durham International Airport, north of Cary via Interstate 40 between Cary, Raleigh and Durham, serves Cary and the greater Research Triangle metropolitan region. Raleigh-Durham offers more than 35 destinations, serving approximately 9 million passengers per year.
",http://www.weather.com/outlook/health/fitness/wxclimatology/monthly/graph/USNC0107,"Cary has a humid subtropical climate (Cfa) under the Köppen climate classification system.  It receives hot summers and mildly cold winters, with several months of pleasant weather each year. Temperature extremes here range from the negatives to over 100 degrees Fahrenheit.  Hurricanes and tropical storms can affect Cary, usually after weakening substantially from being over land. Some, such as Hurricane Fran in 1996, have caused great damage in the area. Snow falls every year, averaging around 6 inches annually.
","/wiki/Cary,_North_Carolina"
156,Springfield, Missouri,"168,122","159,498",+5.41%,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,81.72 sq mi (211.65 km2),0.59 sq mi (1.53 km2),UTC−6 (CST),[2],,http://www.springfieldmo.gov/,"Springfield has an average surface wind velocity comparable to Chicago's, according to information compiled at the National Climatic Data Center at NOAA.[26] It is placed within ""Power Class 3"" in the Wind Energy Resource Atlas published by a branch of the U.S. Department of Energy; having an average wind speed range of 6.4 to 7.0 miles per hour.[27]
","/wiki/Springfield,_Missouri"
157,Fort Collins, Colorado,"167,830","143,986",+16.56%,55.8 sq mi,144.5 km2,"2,943/sq mi","1,136/km2",55.82 sq mi (144.58 km2),1.23 sq mi (3.20 km2)  1.27%,UTC−7 (MST),[3],,http://fcgov.com,"Located along the Front Range of the Rocky Mountains, Fort Collins experiences a semi-arid climate (Köppen BSk), with four distinct seasons and low annual precipitation. Summers range from mild to hot, with low humidity and afternoon thunderstorms that frequently threaten but only occasionally deliver rain. Winters range from mild to moderately cold. The city experiences lots of sunshine, with 300 days of sunshine per year and 19 days with 90° + weather. The average temperature in July, the warmest month, is 71°F (22°C). The average temperature in January, the coldest month, is 29°F (−2°C). Annual snowfall averages 59 inches (1.5m), and can occur from early September through the end of May. Average precipitation overall is 15.9 inches (400mm).
","/wiki/Fort_Collins,_Colorado"
158,Jackson, Mississippi,"164,422","173,514",−5.24%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,111.07 sq mi (287.66 km2),2.17 sq mi (5.61 km2),UTC−6 (CST),Chokwe Antar Lumumba,,http://www.jacksonms.gov,"Jackson is located in the humid subtropical climate zone (Köppen Cfa). Rain occurs throughout the year, though the winter and spring are the wettest seasons, and the late summer and early autumn is usually the driest time of the year. Snow is rare, and accumulation very seldom lasts more than a day.[59] The mean annual precipitation is about 54 inches (1,400mm), see climate table.[60] Much of Jackson's rainfall occurs during thunderstorms. Thunder is heard on roughly 70 days each year. Jackson lies in a region prone to severe thunderstorms which can produce large hail, damaging winds, and tornadoes. Among the most notable tornado events was the F5 Candlestick Park tornado on March 3, 1966, which destroyed the shopping center of the same name and surrounding businesses and residential areas, killing 19 in South Jackson.
","/wiki/Jackson,_Mississippi"
159,Alexandria, Virginia,"160,530","139,966",+14.69%,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",14.93 sq mi (38.68 km2),0.41 sq mi (1.07 km2),UTC-5 (EST),D,,http://www.alexandriava.gov,"The climate in this area is characterized by hot, humid summers and generally mild to cool winters. According to the Köppen Climate Classification system, Alexandria has a humid subtropical climate, abbreviated ""Cfa"" on climate maps.[46]
","/wiki/Alexandria,_Virginia"
160,Hayward, California,"159,620","144,186",+10.70%,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",45.54 sq mi (117.94 km2),18.29 sq mi (47.36 km2)  28.9%,UTC−8 (Pacific),Barbara Halliday,,http://www.hayward-ca.gov,"Hayward has a Mediterranean climate, and contains microclimates, both of which are features of the greater Bay Area. In 2012, the USDA rated Hayward as a zone 10A climate.
","/wiki/Hayward,_California"
161,Lancaster, California,"159,053","156,633",+1.55%,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,94.30 sq mi (244.23 km2),0.26 sq mi (0.68 km2)  0.29%,UTC-8 (Pacific),R. Rex Parris,,http://www.cityoflancasterca.org,"Lancaster has a cold semi-arid steppe climate (Köppen climate classification BSk). The area within Lancaster is covered by shrublands (80%), forests (8%), grasslands (7%), lakes and rivers (2%), and croplands (2%).[17] The average daytime high in the summertime is around 95°F (35°C), and the average winter daytime highs are in the upper 50s (15°C). Overnight lows during the coldest months (December to March) can dip into the low teens Fahrenheit (-12°C). With an average rainfall of eight inches (200mm), clear days are the norm even in winter, when surrounding mountain ranges are blanketed with snow. Thunderstorms are infrequent but do occur in July through September. There is a mild frost throughout March, and temperatures begin to climb in April. Spring wildflowers are abundant, including Lupines, the California Poppy, Fiddlenecks, purple owl's clover, California Goldfields, Creamcups, and Coreopsis. Summer nights are cool and the Pacific tree frog or barn owl can be heard. Average annual snowfall is around two inches (5cm).
","/wiki/Lancaster,_California"
162,Lakewood, Colorado,"156,798","142,980",+9.66%,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",42.87 sq mi (111.04 km2),1.18 sq mi (3.06 km2),UTC-7 (MST),[3],,http://www.ci.lakewood.co.us/,"Lakewood experiences a semi-arid climate (Köppen BSk) featuring mild and snowy winters and warm to hot summers, with great temperature differences (about 30 degrees Fahrenheit) between day and night. Precipitation is concentrated in the spring and summer months.
","/wiki/Lakewood,_Colorado"
163,Clarksville, Tennessee,"156,794","132,929",+17.95%,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,94.9 sq mi (245.7 km2),0.7 sq mi (1.8 km2),UTC−6 (CST),Joe Pitts,"Clarksville is served commercially by Nashville International Airport but also has a small airport, Outlaw Field, located 10 miles (16km) north of downtown. Outlaw Field accommodates an average of slightly over 32,000 private and corporate flight operations per year (average for 12-month period ending 2014), and is also home to a pilot training school and a few small aircraft companies. It has two asphalt runways, one 6,000 by 100ft (1,829 by 30m) and the other 4,004 by 100ft (1,220 by 30m). Outlaw Field has received a $35,000 grant. A new terminal building was built in 2011–2012.
",http://www.cityofclarksville.com/,"
The climate is humid subtropical (Köppen: Cfa) with hot summers and cold winters but interspersed with milder times due to its location between the warmer climates of the Gulf of Mexico and the colder ones of the Midwest. Freezing temperatures are not uncommon but usually the averages are above zero in January (around 2 °C) and in July can often pass through 25 °C. Snow in winter is common, but large accumulated amounts are more sporadic, usually the soil is covered by a thin layer during some time of winter. Precipitation is abundant year-round without any major difference, but March tends to have the highest cumulative, by logging sum in average over 1300 mm, especially in the form of rain.[27][28]","/wiki/Clarksville,_Tennessee"
164,Palmdale, California,"156,667","152,750",+2.56%,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,105.97 sq mi (274.45 km2),0.24 sq mi (0.63 km2)  0.24%,UTC−8 (Pacific Time Zone),,,http://www.cityofpalmdale.org,"Palmdale is located in the High Desert, where the summers are very hot and dry, and winters are chilly to cold, and windy, with snowfall possible. Palmdale has over 300 days of sunshine per year. The same weather pattern that brings the marine layer stratus and afternoon sea breeze to the Los Angeles Basin brings gusty winds to Palmdale, especially near the foothills on the south side. Except during Santa Ana (northeast) wind events (usually fall and winter), gusty southwest winds blow over Palmdale almost every afternoon and evening all year round. The wind is so reliable that wind turbines are used to generate electricity.
","/wiki/Palmdale,_California"
165,Salinas, California,"156,259","150,441",+3.87%,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",23.61 sq mi (61.15 km2),0.04 sq mi (0.10 km2)  0.16%,UTC−8 (Pacific),[4],,http://www.cityofsalinas.org,"Salinas has cool and moderate temperatures, due to the “natural air conditioner” that conveys ocean air and fog from the Monterey Bay to Salinas, while towns to the north and south of Salinas experience hotter summers, as mountains block the ocean air. Thus, Salinas weather is closer to that of the Central Coast of California, rather than that of inland valleys, and thus has a mild Mediterranean climate with typical daily highs ranging from around 63°F (17°C) in the winter to around 75°F (24°C) in the summer. According to the Weather Channel, monthly average temperature highs range from 61 to 75°F or 16.1 to 23.9°C. The record highest temperature was 106°F (41°C) on September 14, 1971.[33] The record lowest temperature was 18°F (−8°C) on December 21, 1937. Annually, there are an average of 5.5 days with 90°F (32°C)+ highs, and an average of 11.7 days with lows reaching the freezing mark or lower.[34]
","/wiki/Salinas,_California"
166,Springfield, Massachusetts,"155,032","153,060",+1.29%,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",31.9 sq mi (82.5 km2),1.2 sq mi (3.1 km2),UTC−5 (Eastern),Domenic Sarno,"Other airports serving Springfield include:
",http://www.springfield-ma.gov,"Springfield, like other cities in southern New England, has a humid continental climate (Köppen: Dfa) with four distinct seasons and precipitation evenly distributed throughout the year. Winters are cold with a daily average in January of around 26°F (−3°C). During winter, nor'easter storms can drop significant snowfalls on Springfield and the Connecticut River Valley. Temperatures below 0°F (−18°C) can occur each year, though the area does not experience the high snowfall amounts and blustery wind averages of nearby cities such as Worcester, Massachusetts and Albany, New York.
","/wiki/Springfield,_Massachusetts"
167,Hollywood, Florida,"154,823","140,768",+9.98%,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",27.27 sq mi (70.64 km2),3.45 sq mi (8.94 km2)  11.23%,UTC−5 (EST),Vice Mayor,,http://www.hollywoodfl.org/,,"/wiki/Hollywood,_Florida"
168,Pasadena, Texas,"153,219","149,043",+2.80%,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",44.2 sq mi (114.4 km2),0.4 sq mi (0.9 km2),UTC−6 (CST),City Council,,http://www.ci.pasadena.tx.us/,"The climate in this area is characterized by hot, humid summers and generally mild to cool winters.
","/wiki/Pasadena,_Texas"
169,Sunnyvale, California,"153,185","140,081",+9.35%,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",21.98 sq mi (56.94 km2),0.70 sq mi (1.82 km2)  3.09%,UTC−8 (PST),[2],"For commercial passenger air travel, Sunnyvale is served by three nearby international airports:
",http://sunnyvale.ca.gov,"Like most of the San Francisco Bay Area, Sunnyvale has a Mediterranean climate, with mild, moist winters and comfortably warm, very dry summers. Average daytime summer temperatures are in the high 70s, and during the winter, average daytime high temperatures rarely stay below 50°F (10°C). Snowfall is rare, but on January 21, 1962, and February 5, 1976, measurable snowfall occurred in Sunnyvale and most of the San Francisco Bay Area. Sunnyvale was briefly hit by tornadoes  in 1998, but otherwise they are extremely rare.[24][25][26][27]
","/wiki/Sunnyvale,_California"
